,county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cases,deaths,driving,transit,walking
0,Dallas,2020-02-15,-1.0,-2.0,,,2.0,,,,126.79,102.23,176.33
1,Dallas,2020-02-15,10.0,,,,,,,,126.79,102.23,176.33
2,Dallas,2020-02-15,10.0,8.0,,,3.0,-3.0,,,126.79,102.23,176.33
3,Dallas,2020-02-15,8.0,-7.0,,,10.0,,,,126.79,102.23,176.33
4,Dallas,2020-02-15,4.0,1.0,16.0,0.0,1.0,-1.0,,,126.79,102.23,176.33
5,Dallas,2020-02-16,-11.0,-10.0,,,-4.0,,,,94.36,86.55,125.74
6,Dallas,2020-02-16,-3.0,,,,,,,,94.36,86.55,125.74
7,Dallas,2020-02-16,16.0,8.0,,,0.0,,,,94.36,86.55,125.74
8,Dallas,2020-02-16,2.0,10.0,,,,,,,94.36,86.55,125.74
9,Dallas,2020-02-16,9.0,2.0,50.0,3.0,1.0,-2.0,,,94.36,86.55,125.74
10,Dallas,2020-02-17,-2.0,-4.0,,,-15.0,4.0,,,106.2,105.27,115.99
11,Dallas,2020-02-17,-3.0,,,,,,,,106.2,105.27,115.99
12,Dallas,2020-02-17,7.0,8.0,,,-14.0,5.0,,,106.2,105.27,115.99
13,Dallas,2020-02-17,-16.0,-2.0,,,-16.0,,,,106.2,105.27,115.99
14,Dallas,2020-02-17,7.0,0.0,39.0,-2.0,-18.0,4.0,,,106.2,105.27,115.99
15,Dallas,2020-02-18,-9.0,-5.0,,,0.0,0.0,,,107.09,102.49,95.91
16,Dallas,2020-02-18,-3.0,,,,,,,,107.09,102.49,95.91
17,Dallas,2020-02-18,-3.0,3.0,,,2.0,0.0,,,107.09,102.49,95.91
18,Dallas,2020-02-18,-10.0,-2.0,,,6.0,,,,107.09,102.49,95.91
19,Dallas,2020-02-18,-4.0,-4.0,-7.0,-2.0,3.0,1.0,,,107.09,102.49,95.91
20,Dallas,2020-02-19,-10.0,-7.0,,,2.0,0.0,,,110.56,101.15,94.0
21,Dallas,2020-02-19,8.0,,,,,,,,110.56,101.15,94.0
22,Dallas,2020-02-19,-3.0,4.0,,,3.0,1.0,,,110.56,101.15,94.0
23,Dallas,2020-02-19,8.0,6.0,,,3.0,,,,110.56,101.15,94.0
24,Dallas,2020-02-19,-2.0,-2.0,-8.0,-3.0,5.0,0.0,,,110.56,101.15,94.0
25,Dallas,2020-02-20,-9.0,-12.0,,,2.0,1.0,,,112.15,102.61,107.09
26,Dallas,2020-02-20,-3.0,,,,,,,,112.15,102.61,107.09
27,Dallas,2020-02-20,-1.0,-2.0,,,3.0,1.0,,,112.15,102.61,107.09
28,Dallas,2020-02-20,-18.0,5.0,,,6.0,,,,112.15,102.61,107.09
29,Dallas,2020-02-20,2.0,2.0,0.0,-2.0,2.0,0.0,,,112.15,102.61,107.09
30,Dallas,2020-02-21,-3.0,-9.0,,,4.0,2.0,,,133.82,113.77,143.97
31,Dallas,2020-02-21,1.0,,,,,,,,133.82,113.77,143.97
32,Dallas,2020-02-21,18.0,-16.0,,,1.0,-1.0,,,133.82,113.77,143.97
33,Dallas,2020-02-21,1.0,5.0,,,22.0,,,,133.82,113.77,143.97
34,Dallas,2020-02-21,3.0,-2.0,2.0,2.0,5.0,-2.0,,,133.82,113.77,143.97
35,Dallas,2020-02-22,-3.0,-2.0,,,5.0,,,,132.23,102.22,171.81
36,Dallas,2020-02-22,5.0,,,,,,,,132.23,102.22,171.81
37,Dallas,2020-02-22,10.0,-10.0,,,-2.0,-3.0,,,132.23,102.22,171.81
38,Dallas,2020-02-22,6.0,4.0,,,8.0,,,,132.23,102.22,171.81
39,Dallas,2020-02-22,2.0,-1.0,18.0,-1.0,3.0,-1.0,,,132.23,102.22,171.81
40,Dallas,2020-02-23,-8.0,-6.0,,,1.0,,,,88.15,78.27,95.08
41,Dallas,2020-02-23,-7.0,,,,,,,,88.15,78.27,95.08
42,Dallas,2020-02-23,14.0,-7.0,,,5.0,,,,88.15,78.27,95.08
43,Dallas,2020-02-23,-4.0,11.0,,,,,,,88.15,78.27,95.08
44,Dallas,2020-02-23,3.0,-2.0,-19.0,-2.0,0.0,1.0,,,88.15,78.27,95.08
45,Dallas,2020-02-24,-4.0,-11.0,,,1.0,2.0,,,107.57,105.48,102.45
46,Dallas,2020-02-24,1.0,,,,,,,,107.57,105.48,102.45
47,Dallas,2020-02-24,0.0,-9.0,,,3.0,0.0,,,107.57,105.48,102.45
48,Dallas,2020-02-24,-16.0,-3.0,,,9.0,,,,107.57,105.48,102.45
49,Dallas,2020-02-24,4.0,0.0,20.0,1.0,4.0,-1.0,,,107.57,105.48,102.45
50,Dallas,2020-02-25,7.0,-3.0,,,3.0,-1.0,,,111.27,103.51,103.31
51,Dallas,2020-02-25,9.0,,,,,,,,111.27,103.51,103.31
52,Dallas,2020-02-25,0.0,-17.0,,,1.0,0.0,,,111.27,103.51,103.31
53,Dallas,2020-02-25,-19.0,-5.0,,,5.0,,,,111.27,103.51,103.31
54,Dallas,2020-02-25,5.0,-1.0,21.0,2.0,4.0,-1.0,,,111.27,103.51,103.31
55,Dallas,2020-02-26,31.0,5.0,,,3.0,-4.0,,,112.69,101.02,101.79
56,Dallas,2020-02-26,41.0,,,,,,,,112.69,101.02,101.79
57,Dallas,2020-02-26,9.0,-13.0,,,3.0,0.0,,,112.69,101.02,101.79
58,Dallas,2020-02-26,1.0,6.0,,,2.0,,,,112.69,101.02,101.79
59,Dallas,2020-02-26,9.0,7.0,12.0,3.0,5.0,-2.0,,,112.69,101.02,101.79
60,Dallas,2020-02-27,36.0,6.0,,,3.0,-3.0,,,121.21,106.18,117.5
61,Dallas,2020-02-27,47.0,,,,,,,,121.21,106.18,117.5
62,Dallas,2020-02-27,3.0,-20.0,,,3.0,0.0,,,121.21,106.18,117.5
63,Dallas,2020-02-27,1.0,0.0,,,8.0,,,,121.21,106.18,117.5
64,Dallas,2020-02-27,11.0,7.0,29.0,6.0,2.0,-2.0,,,121.21,106.18,117.5
65,Dallas,2020-02-28,28.0,9.0,,,0.0,-3.0,,,143.91,118.37,163.78
66,Dallas,2020-02-28,33.0,,,,,,,,143.91,118.37,163.78
67,Dallas,2020-02-28,21.0,-14.0,,,-2.0,-1.0,,,143.91,118.37,163.78
68,Dallas,2020-02-28,16.0,6.0,,,25.0,,,,143.91,118.37,163.78
69,Dallas,2020-02-28,11.0,6.0,32.0,7.0,5.0,-4.0,,,143.91,118.37,163.78
70,Dallas,2020-02-29,52.0,17.0,,,5.0,,,,142.93,114.34,202.47
71,Dallas,2020-02-29,42.0,,,,,,,,142.93,114.34,202.47
72,Dallas,2020-02-29,13.0,-6.0,,,3.0,-3.0,,,142.93,114.34,202.47
73,Dallas,2020-02-29,20.0,13.0,,,14.0,,,,142.93,114.34,202.47
74,Dallas,2020-02-29,10.0,7.0,53.0,6.0,4.0,-3.0,,,142.93,114.34,202.47
75,Dallas,2020-03-01,124.0,31.0,,,3.0,,,,96.61,85.51,123.66
76,Dallas,2020-03-01,10.0,,,,,,,,96.61,85.51,123.66
77,Dallas,2020-03-01,23.0,-5.0,,,4.0,,,,96.61,85.51,123.66
78,Dallas,2020-03-01,15.0,24.0,,,,,,,96.61,85.51,123.66
79,Dallas,2020-03-01,14.0,9.0,37.0,6.0,3.0,-2.0,,,96.61,85.51,123.66
80,Dallas,2020-03-02,24.0,7.0,,,2.0,-1.0,,,107.6,106.36,104.79
81,Dallas,2020-03-02,10.0,,,,,,,,107.6,106.36,104.79
82,Dallas,2020-03-02,1.0,-8.0,,,2.0,0.0,,,107.6,106.36,104.79
83,Dallas,2020-03-02,-6.0,0.0,,,7.0,,,,107.6,106.36,104.79
84,Dallas,2020-03-02,8.0,7.0,22.0,1.0,4.0,-1.0,,,107.6,106.36,104.79
85,Dallas,2020-03-03,33.0,10.0,,,-1.0,-2.0,,,112.59,102.93,109.48
86,Dallas,2020-03-03,23.0,,,,,,,,112.59,102.93,109.48
87,Dallas,2020-03-03,5.0,-10.0,,,3.0,-1.0,,,112.59,102.93,109.48
88,Dallas,2020-03-03,13.0,16.0,,,1.0,,,,112.59,102.93,109.48
89,Dallas,2020-03-03,11.0,9.0,49.0,2.0,4.0,-2.0,,,112.59,102.93,109.48
90,Dallas,2020-03-04,10.0,-3.0,,,-2.0,2.0,,,109.3,96.44,97.71
91,Dallas,2020-03-04,17.0,,,,,,,,109.3,96.44,97.71
92,Dallas,2020-03-04,11.0,-6.0,,,4.0,-1.0,,,109.3,96.44,97.71
93,Dallas,2020-03-04,22.0,21.0,,,5.0,,,,109.3,96.44,97.71
94,Dallas,2020-03-04,5.0,5.0,-6.0,-8.0,2.0,2.0,,,109.3,96.44,97.71
95,Dallas,2020-03-05,22.0,5.0,,,3.0,-1.0,,,123.15,109.51,122.99
96,Dallas,2020-03-05,19.0,,,,,,,,123.15,109.51,122.99
97,Dallas,2020-03-05,2.0,-14.0,,,3.0,1.0,,,123.15,109.51,122.99
98,Dallas,2020-03-05,4.0,18.0,,,8.0,,,,123.15,109.51,122.99
99,Dallas,2020-03-05,11.0,10.0,47.0,4.0,3.0,-2.0,,,123.15,109.51,122.99
100,Dallas,2020-03-06,14.0,2.0,,,1.0,0.0,,,143.35,117.82,149.96
101,Dallas,2020-03-06,16.0,,,,,,,,143.35,117.82,149.96
102,Dallas,2020-03-06,21.0,-13.0,,,6.0,-2.0,,,143.35,117.82,149.96
103,Dallas,2020-03-06,20.0,6.0,,,22.0,,,,143.35,117.82,149.96
104,Dallas,2020-03-06,7.0,4.0,27.0,7.0,4.0,-4.0,,,143.35,117.82,149.96
105,Dallas,2020-03-07,19.0,7.0,,,15.0,,,,134.13,109.09,166.79
106,Dallas,2020-03-07,23.0,,,,,,,,134.13,109.09,166.79
107,Dallas,2020-03-07,14.0,-5.0,,,9.0,-4.0,,,134.13,109.09,166.79
108,Dallas,2020-03-07,19.0,15.0,,,14.0,,,,134.13,109.09,166.79
109,Dallas,2020-03-07,6.0,4.0,40.0,7.0,3.0,-2.0,,,134.13,109.09,166.79
110,Dallas,2020-03-08,23.0,6.0,,,5.0,,,,91.47,83.75,104.92
111,Dallas,2020-03-08,5.0,,,,,,,,91.47,83.75,104.92
112,Dallas,2020-03-08,19.0,-3.0,,,1.0,,,,91.47,83.75,104.92
113,Dallas,2020-03-08,16.0,17.0,,,,,,,91.47,83.75,104.92
114,Dallas,2020-03-08,9.0,4.0,27.0,3.0,1.0,-1.0,,,91.47,83.75,104.92
115,Dallas,2020-03-09,24.0,5.0,,,2.0,-3.0,,,106.81,100.42,107.44
116,Dallas,2020-03-09,0.0,,,,,,,,106.81,100.42,107.44
117,Dallas,2020-03-09,3.0,-10.0,,,2.0,1.0,,,106.81,100.42,107.44
118,Dallas,2020-03-09,-8.0,3.0,,,-4.0,,,,106.81,100.42,107.44
119,Dallas,2020-03-09,6.0,4.0,5.0,-5.0,-5.0,2.0,,,106.81,100.42,107.44
120,Dallas,2020-03-10,17.0,4.0,,,0.0,-2.0,2.0,0.0,115.5,108.45,120.58
121,Dallas,2020-03-10,21.0,,,,,,2.0,0.0,115.5,108.45,120.58
122,Dallas,2020-03-10,8.0,-12.0,,,1.0,0.0,2.0,0.0,115.5,108.45,120.58
123,Dallas,2020-03-10,-2.0,11.0,,,-6.0,,2.0,0.0,115.5,108.45,120.58
124,Dallas,2020-03-10,11.0,6.0,71.0,1.0,-4.0,0.0,2.0,0.0,115.5,108.45,120.58
125,Dallas,2020-03-11,13.0,8.0,,,-2.0,-2.0,3.0,0.0,115.56,107.74,120.57
126,Dallas,2020-03-11,11.0,,,,,,3.0,0.0,115.56,107.74,120.57
127,Dallas,2020-03-11,14.0,-2.0,,,2.0,0.0,3.0,0.0,115.56,107.74,120.57
128,Dallas,2020-03-11,15.0,17.0,,,-5.0,,3.0,0.0,115.56,107.74,120.57
129,Dallas,2020-03-11,14.0,15.0,69.0,3.0,-3.0,-1.0,3.0,0.0,115.56,107.74,120.57
130,Dallas,2020-03-12,21.0,10.0,,,0.0,-4.0,8.0,0.0,110.87,96.98,114.01
131,Dallas,2020-03-12,16.0,,,,,,8.0,0.0,110.87,96.98,114.01
132,Dallas,2020-03-12,7.0,-1.0,,,1.0,1.0,8.0,0.0,110.87,96.98,114.01
133,Dallas,2020-03-12,1.0,22.0,,,-3.0,,8.0,0.0,110.87,96.98,114.01
134,Dallas,2020-03-12,10.0,25.0,40.0,-2.0,-7.0,0.0,8.0,0.0,110.87,96.98,114.01
135,Dallas,2020-03-13,9.0,24.0,,,-1.0,0.0,9.0,0.0,109.68,88.53,111.9
136,Dallas,2020-03-13,6.0,,,,,,9.0,0.0,109.68,88.53,111.9
137,Dallas,2020-03-13,15.0,4.0,,,-8.0,1.0,9.0,0.0,109.68,88.53,111.9
138,Dallas,2020-03-13,14.0,21.0,,,9.0,,9.0,0.0,109.68,88.53,111.9
139,Dallas,2020-03-13,0.0,32.0,-28.0,-14.0,-12.0,4.0,9.0,0.0,109.68,88.53,111.9
140,Dallas,2020-03-14,10.0,26.0,,,0.0,,1.0,0.0,94.36,75.21,117.07
141,Dallas,2020-03-14,10.0,26.0,,,0.0,,11.0,0.0,94.36,75.21,117.07
142,Dallas,2020-03-14,-8.0,,,,,,1.0,0.0,94.36,75.21,117.07
143,Dallas,2020-03-14,-8.0,,,,,,11.0,0.0,94.36,75.21,117.07
144,Dallas,2020-03-14,-13.0,-11.0,,,3.0,2.0,1.0,0.0,94.36,75.21,117.07
145,Dallas,2020-03-14,-13.0,-11.0,,,3.0,2.0,11.0,0.0,94.36,75.21,117.07
146,Dallas,2020-03-14,-4.0,10.0,,,2.0,,1.0,0.0,94.36,75.21,117.07
147,Dallas,2020-03-14,-4.0,10.0,,,2.0,,11.0,0.0,94.36,75.21,117.07
148,Dallas,2020-03-14,-12.0,14.0,-37.0,-15.0,-6.0,5.0,1.0,0.0,94.36,75.21,117.07
149,Dallas,2020-03-14,-12.0,14.0,-37.0,-15.0,-6.0,5.0,11.0,0.0,94.36,75.21,117.07
150,Dallas,2020-03-15,1.0,17.0,,,-6.0,,1.0,0.0,65.87,59.28,70.07
151,Dallas,2020-03-15,1.0,17.0,,,-6.0,,14.0,0.0,65.87,59.28,70.07
152,Dallas,2020-03-15,-3.0,,,,,,1.0,0.0,65.87,59.28,70.07
153,Dallas,2020-03-15,-3.0,,,,,,14.0,0.0,65.87,59.28,70.07
154,Dallas,2020-03-15,-7.0,-6.0,,,-10.0,,1.0,0.0,65.87,59.28,70.07
155,Dallas,2020-03-15,-7.0,-6.0,,,-10.0,,14.0,0.0,65.87,59.28,70.07
156,Dallas,2020-03-15,-5.0,18.0,,,,,1.0,0.0,65.87,59.28,70.07
157,Dallas,2020-03-15,-5.0,18.0,,,,,14.0,0.0,65.87,59.28,70.07
158,Dallas,2020-03-15,-14.0,3.0,-37.0,-18.0,-10.0,5.0,1.0,0.0,65.87,59.28,70.07
159,Dallas,2020-03-15,-14.0,3.0,-37.0,-18.0,-10.0,5.0,14.0,0.0,65.87,59.28,70.07
160,Dallas,2020-03-16,10.0,16.0,,,-6.0,1.0,1.0,0.0,81.28,75.4,82.13
161,Dallas,2020-03-16,10.0,16.0,,,-6.0,1.0,14.0,0.0,81.28,75.4,82.13
162,Dallas,2020-03-16,-7.0,,,,,,1.0,0.0,81.28,75.4,82.13
163,Dallas,2020-03-16,-7.0,,,,,,14.0,0.0,81.28,75.4,82.13
164,Dallas,2020-03-16,-7.0,15.0,,,-28.0,10.0,1.0,0.0,81.28,75.4,82.13
165,Dallas,2020-03-16,-7.0,15.0,,,-28.0,10.0,14.0,0.0,81.28,75.4,82.13
166,Dallas,2020-03-16,-7.0,26.0,,,5.0,,1.0,0.0,81.28,75.4,82.13
167,Dallas,2020-03-16,-7.0,26.0,,,5.0,,14.0,0.0,81.28,75.4,82.13
168,Dallas,2020-03-16,-6.0,18.0,-11.0,-20.0,-22.0,9.0,1.0,0.0,81.28,75.4,82.13
169,Dallas,2020-03-16,-6.0,18.0,-11.0,-20.0,-22.0,9.0,14.0,0.0,81.28,75.4,82.13
170,Dallas,2020-03-17,1.0,7.0,,,-16.0,3.0,3.0,0.0,73.78,61.86,74.55
171,Dallas,2020-03-17,1.0,7.0,,,-16.0,3.0,23.0,0.0,73.78,61.86,74.55
172,Dallas,2020-03-17,-4.0,,,,,,3.0,0.0,73.78,61.86,74.55
173,Dallas,2020-03-17,-4.0,,,,,,23.0,0.0,73.78,61.86,74.55
174,Dallas,2020-03-17,-31.0,3.0,,,-37.0,14.0,3.0,0.0,73.78,61.86,74.55
175,Dallas,2020-03-17,-31.0,3.0,,,-37.0,14.0,23.0,0.0,73.78,61.86,74.55
176,Dallas,2020-03-17,-17.0,35.0,,,-16.0,,3.0,0.0,73.78,61.86,74.55
177,Dallas,2020-03-17,-17.0,35.0,,,-16.0,,23.0,0.0,73.78,61.86,74.55
178,Dallas,2020-03-17,-20.0,15.0,-5.0,-26.0,-27.0,12.0,3.0,0.0,73.78,61.86,74.55
179,Dallas,2020-03-17,-20.0,15.0,-5.0,-26.0,-27.0,12.0,23.0,0.0,73.78,61.86,74.55
180,Dallas,2020-03-18,-3.0,13.0,,,-17.0,4.0,5.0,0.0,70.9,60.27,72.89
181,Dallas,2020-03-18,-3.0,13.0,,,-17.0,4.0,34.0,0.0,70.9,60.27,72.89
182,Dallas,2020-03-18,-3.0,,,,,,5.0,0.0,70.9,60.27,72.89
183,Dallas,2020-03-18,-3.0,,,,,,34.0,0.0,70.9,60.27,72.89
184,Dallas,2020-03-18,-42.0,-14.0,,,-41.0,19.0,5.0,0.0,70.9,60.27,72.89
185,Dallas,2020-03-18,-42.0,-14.0,,,-41.0,19.0,34.0,0.0,70.9,60.27,72.89
186,Dallas,2020-03-18,0.0,31.0,,,-18.0,,5.0,0.0,70.9,60.27,72.89
187,Dallas,2020-03-18,0.0,31.0,,,-18.0,,34.0,0.0,70.9,60.27,72.89
188,Dallas,2020-03-18,-22.0,15.0,13.0,-29.0,-31.0,14.0,5.0,0.0,70.9,60.27,72.89
189,Dallas,2020-03-18,-22.0,15.0,13.0,-29.0,-31.0,14.0,34.0,0.0,70.9,60.27,72.89
190,Dallas,2020-03-19,4.0,24.0,,,-17.0,5.0,5.0,0.0,67.41,59.21,69.9
191,Dallas,2020-03-19,4.0,24.0,,,-17.0,5.0,56.0,1.0,67.41,59.21,69.9
192,Dallas,2020-03-19,-5.0,,,,-25.0,,5.0,0.0,67.41,59.21,69.9
193,Dallas,2020-03-19,-5.0,,,,-25.0,,56.0,1.0,67.41,59.21,69.9
194,Dallas,2020-03-19,-49.0,-24.0,,,-44.0,22.0,5.0,0.0,67.41,59.21,69.9
195,Dallas,2020-03-19,-49.0,-24.0,,,-44.0,22.0,56.0,1.0,67.41,59.21,69.9
196,Dallas,2020-03-19,-18.0,22.0,,,-18.0,,5.0,0.0,67.41,59.21,69.9
197,Dallas,2020-03-19,-18.0,22.0,,,-18.0,,56.0,1.0,67.41,59.21,69.9
198,Dallas,2020-03-19,-28.0,8.0,-12.0,-34.0,-35.0,16.0,5.0,0.0,67.41,59.21,69.9
199,Dallas,2020-03-19,-28.0,8.0,-12.0,-34.0,-35.0,16.0,56.0,1.0,67.41,59.21,69.9
200,Dallas,2020-03-20,-12.0,13.0,,,-22.0,,5.0,0.0,71.16,55.47,70.19
201,Dallas,2020-03-20,-12.0,13.0,,,-22.0,,74.0,1.0,71.16,55.47,70.19
202,Dallas,2020-03-20,-16.0,,,,,,5.0,0.0,71.16,55.47,70.19
203,Dallas,2020-03-20,-16.0,,,,,,74.0,1.0,71.16,55.47,70.19
204,Dallas,2020-03-20,-45.0,-21.0,,,-45.0,21.0,5.0,0.0,71.16,55.47,70.19
205,Dallas,2020-03-20,-45.0,-21.0,,,-45.0,21.0,74.0,1.0,71.16,55.47,70.19
206,Dallas,2020-03-20,-6.0,22.0,,,-11.0,,5.0,0.0,71.16,55.47,70.19
207,Dallas,2020-03-20,-6.0,22.0,,,-11.0,,74.0,1.0,71.16,55.47,70.19
208,Dallas,2020-03-20,-31.0,9.0,-38.0,-35.0,-35.0,17.0,5.0,0.0,71.16,55.47,70.19
209,Dallas,2020-03-20,-31.0,9.0,-38.0,-35.0,-35.0,17.0,74.0,1.0,71.16,55.47,70.19
210,Dallas,2020-03-21,-13.0,15.0,,,-5.0,,5.0,0.0,60.07,46.78,65.99
211,Dallas,2020-03-21,-13.0,15.0,,,-5.0,,95.0,1.0,60.07,46.78,65.99
212,Dallas,2020-03-21,-18.0,,,,,,5.0,0.0,60.07,46.78,65.99
213,Dallas,2020-03-21,-18.0,,,,,,95.0,1.0,60.07,46.78,65.99
214,Dallas,2020-03-21,-62.0,-26.0,,,-20.0,,5.0,0.0,60.07,46.78,65.99
215,Dallas,2020-03-21,-62.0,-26.0,,,-20.0,,95.0,1.0,60.07,46.78,65.99
216,Dallas,2020-03-21,-2.0,15.0,,,-12.0,,5.0,0.0,60.07,46.78,65.99
217,Dallas,2020-03-21,-2.0,15.0,,,-12.0,,95.0,1.0,60.07,46.78,65.99
218,Dallas,2020-03-21,-39.0,-1.0,-31.0,-34.0,-23.0,13.0,5.0,0.0,60.07,46.78,65.99
219,Dallas,2020-03-21,-39.0,-1.0,-31.0,-34.0,-23.0,13.0,95.0,1.0,60.07,46.78,65.99
220,Dallas,2020-03-22,-20.0,2.0,,,-23.0,,6.0,0.0,41.72,38.32,46.69
221,Dallas,2020-03-22,-20.0,2.0,,,-23.0,,132.0,2.0,41.72,38.32,46.69
222,Dallas,2020-03-22,-35.0,,,,,,6.0,0.0,41.72,38.32,46.69
223,Dallas,2020-03-22,-35.0,,,,,,132.0,2.0,41.72,38.32,46.69
224,Dallas,2020-03-22,-61.0,-41.0,,,-30.0,,6.0,0.0,41.72,38.32,46.69
225,Dallas,2020-03-22,-61.0,-41.0,,,-30.0,,132.0,2.0,41.72,38.32,46.69
226,Dallas,2020-03-22,-28.0,3.0,,,-14.0,,6.0,0.0,41.72,38.32,46.69
227,Dallas,2020-03-22,-28.0,3.0,,,-14.0,,132.0,2.0,41.72,38.32,46.69
228,Dallas,2020-03-22,-41.0,-3.0,-43.0,-40.0,-31.0,12.0,6.0,0.0,41.72,38.32,46.69
229,Dallas,2020-03-22,-41.0,-3.0,-43.0,-40.0,-31.0,12.0,132.0,2.0,41.72,38.32,46.69
230,Dallas,2020-03-23,-18.0,4.0,,,-26.0,,6.0,0.0,56.97,49.36,60.82
231,Dallas,2020-03-23,-18.0,4.0,,,-26.0,,159.0,2.0,56.97,49.36,60.82
232,Dallas,2020-03-23,-22.0,,,,,,6.0,0.0,56.97,49.36,60.82
233,Dallas,2020-03-23,-22.0,,,,,,159.0,2.0,56.97,49.36,60.82
234,Dallas,2020-03-23,-52.0,-24.0,,,-48.0,21.0,6.0,0.0,56.97,49.36,60.82
235,Dallas,2020-03-23,-52.0,-24.0,,,-48.0,21.0,159.0,2.0,56.97,49.36,60.82
236,Dallas,2020-03-23,-22.0,9.0,,,-18.0,,6.0,0.0,56.97,49.36,60.82
237,Dallas,2020-03-23,-22.0,9.0,,,-18.0,,159.0,2.0,56.97,49.36,60.82
238,Dallas,2020-03-23,-31.0,3.0,-28.0,-40.0,-39.0,17.0,6.0,0.0,56.97,49.36,60.82
239,Dallas,2020-03-23,-31.0,3.0,-28.0,-40.0,-39.0,17.0,159.0,2.0,56.97,49.36,60.82
240,Dallas,2020-03-24,-13.0,2.0,,,-29.0,,7.0,0.0,53.92,46.34,62.94
241,Dallas,2020-03-24,-13.0,2.0,,,-29.0,,169.0,5.0,53.92,46.34,62.94
242,Dallas,2020-03-24,-14.0,,,,,,7.0,0.0,53.92,46.34,62.94
243,Dallas,2020-03-24,-14.0,,,,,,169.0,5.0,53.92,46.34,62.94
244,Dallas,2020-03-24,-52.0,-27.0,,,-50.0,23.0,7.0,0.0,53.92,46.34,62.94
245,Dallas,2020-03-24,-52.0,-27.0,,,-50.0,23.0,169.0,5.0,53.92,46.34,62.94
246,Dallas,2020-03-24,-31.0,-2.0,,,-26.0,,7.0,0.0,53.92,46.34,62.94
247,Dallas,2020-03-24,-31.0,-2.0,,,-26.0,,169.0,5.0,53.92,46.34,62.94
248,Dallas,2020-03-24,-45.0,-22.0,-4.0,-44.0,-48.0,22.0,7.0,0.0,53.92,46.34,62.94
249,Dallas,2020-03-24,-45.0,-22.0,-4.0,-44.0,-48.0,22.0,169.0,5.0,53.92,46.34,62.94
250,Dallas,2020-03-25,-11.0,1.0,,,-28.0,,2.0,0.0,51.63,43.65,61.49
251,Dallas,2020-03-25,-11.0,1.0,,,-28.0,,7.0,0.0,51.63,43.65,61.49
252,Dallas,2020-03-25,-11.0,1.0,,,-28.0,,169.0,6.0,51.63,43.65,61.49
253,Dallas,2020-03-25,-5.0,,,,,,2.0,0.0,51.63,43.65,61.49
254,Dallas,2020-03-25,-5.0,,,,,,7.0,0.0,51.63,43.65,61.49
255,Dallas,2020-03-25,-5.0,,,,,,169.0,6.0,51.63,43.65,61.49
256,Dallas,2020-03-25,-54.0,-27.0,,,-49.0,23.0,2.0,0.0,51.63,43.65,61.49
257,Dallas,2020-03-25,-54.0,-27.0,,,-49.0,23.0,7.0,0.0,51.63,43.65,61.49
258,Dallas,2020-03-25,-54.0,-27.0,,,-49.0,23.0,169.0,6.0,51.63,43.65,61.49
259,Dallas,2020-03-25,-7.0,26.0,,,-27.0,,2.0,0.0,51.63,43.65,61.49
260,Dallas,2020-03-25,-7.0,26.0,,,-27.0,,7.0,0.0,51.63,43.65,61.49
261,Dallas,2020-03-25,-7.0,26.0,,,-27.0,,169.0,6.0,51.63,43.65,61.49
262,Dallas,2020-03-25,-41.0,-14.0,3.0,-43.0,-47.0,21.0,2.0,0.0,51.63,43.65,61.49
263,Dallas,2020-03-25,-41.0,-14.0,3.0,-43.0,-47.0,21.0,7.0,0.0,51.63,43.65,61.49
264,Dallas,2020-03-25,-41.0,-14.0,3.0,-43.0,-47.0,21.0,169.0,6.0,51.63,43.65,61.49
265,Dallas,2020-03-26,-12.0,6.0,,,-29.0,,2.0,0.0,53.41,44.34,60.98
266,Dallas,2020-03-26,-12.0,6.0,,,-29.0,,7.0,0.0,53.41,44.34,60.98
267,Dallas,2020-03-26,-12.0,6.0,,,-29.0,,303.0,7.0,53.41,44.34,60.98
268,Dallas,2020-03-26,-14.0,,,,-32.0,,2.0,0.0,53.41,44.34,60.98
269,Dallas,2020-03-26,-14.0,,,,-32.0,,7.0,0.0,53.41,44.34,60.98
270,Dallas,2020-03-26,-14.0,,,,-32.0,,303.0,7.0,53.41,44.34,60.98
271,Dallas,2020-03-26,-53.0,-31.0,,,-51.0,24.0,2.0,0.0,53.41,44.34,60.98
272,Dallas,2020-03-26,-53.0,-31.0,,,-51.0,24.0,7.0,0.0,53.41,44.34,60.98
273,Dallas,2020-03-26,-53.0,-31.0,,,-51.0,24.0,303.0,7.0,53.41,44.34,60.98
274,Dallas,2020-03-26,-12.0,1.0,,,-27.0,,2.0,0.0,53.41,44.34,60.98
275,Dallas,2020-03-26,-12.0,1.0,,,-27.0,,7.0,0.0,53.41,44.34,60.98
276,Dallas,2020-03-26,-12.0,1.0,,,-27.0,,303.0,7.0,53.41,44.34,60.98
277,Dallas,2020-03-26,-41.0,-15.0,-5.0,-43.0,-49.0,21.0,2.0,0.0,53.41,44.34,60.98
278,Dallas,2020-03-26,-41.0,-15.0,-5.0,-43.0,-49.0,21.0,7.0,0.0,53.41,44.34,60.98
279,Dallas,2020-03-26,-41.0,-15.0,-5.0,-43.0,-49.0,21.0,303.0,7.0,53.41,44.34,60.98
